ID,sku,Type,Name,Published,Is featured?,Visibility in catalog,Short description,In stock?,Weight (kg),Length (in),Width (cm),Width (cm),Sale price,Regular price,Categories,Images
,1.65E+060,simple,Siam Lotus Earrings,1,,visible,"The mythology of the golden lotus is this collection�s major theme. The artisans amalgamated perfectly formed red ruby pieces into the fine gold backdrop. All gems were chosen for their perfection of color, and embedded with fastidious care. In this presentation the flower profile looks subtle, gorgeous and entirely natural. Chinese people believe that the collaboration of red and gold colors depict the concept of contentment.        ",1,32.21,,,,0,0,Earring,http://localhost/prima/wp-content/uploads/2020/01/165E0058.jpg
,165L0034,simple,Siam Lotus Bracelet,1,,visible,"The mythology of the golden lotus is this collection�s major theme. The artisans amalgamated perfectly formed red ruby pieces into the fine gold backdrop. All gems were chosen for their perfection of color, and embedded with fastidious care. In this presentation the flower profile looks subtle, gorgeous and entirely natural. Chinese people believe that the collaboration of red and gold colors depict the concept of contentment.        ",1,76.59,,,,0,0,Bracelet,http://localhost/prima/wp-content/uploads/2020/01/165L0034.jpg
,165N0046,simple,Siam Lotus Necklace,1,,visible,"The mythology of the golden lotus is this collection�s major theme. The artisans amalgamated perfectly formed red ruby pieces into the fine gold backdrop. All gems were chosen for their perfection of color, and embedded with fastidious care. In this presentation the flower profile looks subtle, gorgeous and entirely natural. Chinese people believe that the collaboration of red and gold colors depict the concept of contentment.        ",1,158.5,16,,,0,0,Nacklet,http://localhost/prima/wp-content/uploads/2020/01/165N0046.jpg
,165R0064,simple,Siam Lotus Ring,1,,visible,"The mythology of the golden lotus is this collection�s major theme. The artisans amalgamated perfectly formed red ruby pieces into the fine gold backdrop. All gems were chosen for their perfection of color, and embedded with fastidious care. In this presentation the flower profile looks subtle, gorgeous and entirely natural. Chinese people believe that the collaboration of red and gold colors depict the concept of contentment.        ",1,19.79,,,,0,0,Ring,http://localhost/prima/wp-content/uploads/2020/01/165R0064.jpg
,165E0521,simple,Blooming Rose Earrings,1,,visible,"Expessed through the fine setting of ruby to reflect the delicate details of red blooming rose, bringing sense of classic and modern in pure beauty.",1,16.79,,,,0,0,Earring,http://localhost/prima/wp-content/uploads/2020/01/165E0521.jpg
,165L0236,simple,Blooming Rose Bracelet,1,,visible,"Expessed through the fine setting of ruby to reflect the delicate details of red blooming rose, bringing sense of classic and modern in pure beauty.",1,39.2,,,,0,0,Bracelet,http://localhost/prima/wp-content/uploads/2020/01/165L0236.jpg
,165N0326,simple,Blooming Rose Necklace,1,,visible,"Expessed through the fine setting of ruby to reflect the delicate details of red blooming rose, bringing sense of classic and modern in pure beauty.",1,105.94,14,,,0,0,Nacklet,http://localhost/prima/wp-content/uploads/2020/01/165N0326.jpg
,165R0456,simple,Blooming Rose Ring,1,,visible,"Expessed through the fine setting of ruby to reflect the delicate details of red blooming rose, bringing sense of classic and modern in pure beauty.",1,11.03,,,,0,0,Ring,http://localhost/prima/wp-content/uploads/2020/01/165N0326.jpg
,165R0572,simple,Grand Pavone Ring,1,,visible,"Inspired by the finest attributes of peacock feathers, Grand Pavone beautifully captivates all sensual aspects of charm, elegance and pride. Pure gold decorated with blue topaz gemstones remarkably reveals the most impeccable craftsmanship handcrafted on delicate patterns of peacock feathers, enhancing such valuable aspects of the most precious moments.",1,14.3,,,,0,0,Ring,http://localhost/prima/wp-content/uploads/2020/01/165R0572.jpg
,165B0043,simple,Grand Pavone Bangle,1,,visible,"Inspired by the finest attributes of peacock feathers, Grand Pavone beautifully captivates all sensual aspects of charm, elegance and pride. Pure gold decorated with blue topaz gemstones remarkably reveals the most impeccable craftsmanship handcrafted on delicate patterns of peacock feathers, enhancing such valuable aspects of the most precious moments.",1,55.51,,,,0,0,Bangle,http://localhost/prima/wp-content/uploads/2020/01/165B0043.jpg
